"Qty";"Value";"Device";"Package";"Parts";"Description";"DESC";"LABEL";"MOUSER_REF";"MPN";"R";"SKU";"TP_SIGNAL_NAME";"VALUE";
"1";"0R";"SMD-RES-0R-5%-1/10W(0603)";"R0603";"R20";"301010292";"";"";"";"RC0603JR-070RL";"";"";"";"0R";
"5";"100K";"SMD-RES-100K-5%-1/10W(0603)";"R0603";"R1, R9, R10, R11, R21";"301010089";"";"";"";"RC0603JR-07100KL";"";"";"";"100K 1/10W";
"11";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"C5, C7, C12, C13, C16, C17, C18, C19, C20, C21, C23";"302010138";"";"";"";"CC0603KRX7R9BB104";"";"";"";"100nf";
"5";"10K";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"R12, R14, R15, R24, R29";"301010293";"";"";"";"RC0603JR-0710KL";"";"";"";"10K 1/10W";
"1";"10R";"SMD-RES-10R-1%-1/10W(0603)";"R0603";"R5";"301010185";"";"";"";"RC0603FR-0710RL";"";"";"";"10R";
"1";"10UH-225MA";"SMD-INDUCTOR-10UH-20%-2.35A(2P-5X5X4MM)";"L5040S";"L3";"303010147";"";"";"";"";"";"";"";"";
"4";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"C8, C9, C10, C11";"302010178";"";"";"";"CC0805KKX5R8BB106";"";"";"";"10uf";
"10";"1K";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"R16, R17, R18, R19, R22, R23, R25, R26, R27, R28";"301010291";"";"";"";"RC0603JR-071KL";"";"";"";"1K 1/10W";
"1";"1M";"SMD-RES-1M-5%-1/10W(0603)";"R0603";"R13";"301010100";"";"";"";"RC0603JR-071ML";"";"";"";"1M 1/10W";
"1";"1uf";"CERAMIC-1UF-25V-10%-X7R(0603)";"C0603";"C22";"302010139";"";"";"";"CC0603KRX7R8BB105";"";"";"";"1uf";
"2";"20V-500MA";"SMD-DIODE-SCHOTTKY-20V-500MA(SOD-123)P";"SOD-123";"D2, D3";"304020028";"";"";"";"MBR0520LT1G";"";"";"";"20V-500MA";
"2";"22R";"SMD-RES-22R-5%-1/10W(0603)";"R0603";"R3, R4";"301010289";"";"";"";"RC0603JR-0722RL";"";"";"";"22R";
"1";"22nf";"CERAMIC-22NF-50V-10%-X7R(0603)";"C0603";"C6";"302010095";"";"";"";"CC0603KRX7R9BB223";"";"";"";"22nf";
"2";"22pf";"CERAMIC-22PF-50V-5%-NPO(0603)";"C0603";"C14, C15";"302010143";"";"";"";"CC0603JRNPO9BN220";"";"";"";"22pf";
"4";"22uf";"CERAMIC-22UF-16V-10%-X7R(1206)";"C1206";"C1, C2, C3, C4";"302010182";"";"";"";"";"";"";"";"";
"1";"24K";"SMD-RES-24K-1%-1/10W(0603)";"R0603";"R2";"301010232";"";"";"";"";"";"";"";"";
"1";"2K7 / 1%";"SMD-RES-2.7K-1%-1/10W(0603)";"R0603";"R8";"301010193";"";"";"";"";"2K7 / 1%";"";"";"";
"1";"3.3K";"SMD-RES-3.3K-5%-1/10W(0603)";"R0603";"R6";"301010112";"";"";"";"";"";"";"";"";
"1";"306010049_XTAL_16MHZ-3225_4P";"306010049_XTAL_16MHZ-3225_4P";"X3225_4P";"X1";"SMD Crystal 16MHz-9pF-10ppm-40R;4P-L3.2*W2.5mm, SKU: 306010049";"";"";"";"";"";"";"";"";
"1";"330R-1500MA";"SMD-FERRITE-BEAD-330R-1500MA(0805)'0805'";"L0805";"L2";"303030006";"";"";"";"BLM21PG331SN1D";"";"";"";"330R-1500MA";
"1";"3K / 1%";"SMD-RES-510R-1%-1/10W(0603)";"R0603";"R7";"301010215";"";"";"";"";"510R / 1%";"";"";"";
"1";"470R";"SMD-RES-470R-5%-1/10W(0603)";"R0603";"R30";"301010088";"";"";"";"RC0603JR-07470RL";"";"";"";"470R";
"2";"470R-2A";"SMD-FERRITE-BEAD-470R-2A(0805)'0805'";"L0805";"L1, L4";"303030008";"";"";"";"WLB2012-471T20";"";"";"";"470R-2A";
"2";"4P-2.0";"GROVE-CONNECTOR-DIP(4P-2.0)";"HW4-2.0";"J6, J8";"320110033";"";"";"";"";"";"";"";"4P-2.0";
"1";"ATMEGA32U4-MUR-QFN44";"MCU-ATMEGA32U4-MUR(VQFN44)";"QFN44G-0.5-7X7MM";"U5";"310010016";"Primary socket - QFN44";"";"";"ATMEGA32U4-MUR";"";"";"";"ATMEGA32U4-MUR-QFN44";
"1";"BLUE-0603";"SMD-LED-CLEAR-BLUE(0603)";"LED-0603";"D4";"304090045";"";"ESP";"";"19-217-BHC-ZL1M2RY-3T";"";"";"";"BLUE-0603";
"1";"CJ2305";"SMD-MOSFET-P-CH-8V-4.1A-CJ2305(SOT-23)";"SOT-23";"Q2";"305030014";"";"";"";"CJ2305";"";"";"";"CJ2305";
"1";"CJT1117-3.3";"PMIC-CJT1117-3.3(SOT223)";"SOT-223";"U1";"310030097";"";"";"";"CJT1117-3.3";"";"";"";"CJT1117-3.3-SOT223";
"1";"DC-044-A";"JACK-DC-044-A";"DCJ3P-11.6X9.6X7.0MM";"J1";"320120002";"";"";"";"JACK-DC-044-A";"";"";"";"DC-044-A";
"1";"DNP";"ATECC608(SOIC8)";"SOIC8-1.27-5X4MM";"U4";"ATECC608";"ATECC608A-SSHDA-B (SOIC-8)";"";"https://www.mouser.com/ProductDetail/556-ATECC608ASSHDAB";"ATECC608A-SSHDA-B";"";"";"";"ATECC608-SOIC8";
"1";"DNP";"MCU-ATMEGA32U4-AU(TQFP44)";"TQFP44-0.8-9.6X9.6MM";"U6";"310010010";"Alternative socket - TQFP44";"";"";"ATMEGA32U4";"";"";"";"ATMEGA32U4-TQFP44";
"1";"ESP-12F / OPL: 317060163";"ESP-12F";"ESP-12F";"U3";"317060163";"";"";"";"";"";"";"";"";
"1";"GREEN-0603";"SMD-LED-CLEAR-GREEN(0603)";"LED-0603";"D5";"304090043";"";"PWR";"";"19-217-G7C-AN1P2-3T";"";"";"";"GREEN-0603";
"1";"MP1496DJ-SOT23-8";"PMIC-MP1496DJ(SOT23-8)";"SOT-23-8";"U2";"310030121";"";"";"";"MP1496DJ";"";"";"";"MP1496DJ-SOT23-8";
"1";"NCE3407A";"SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A(SOT-23)";"SOT-23";"Q1";"305030010";"";"";"";"NCE3407A";"";"";"";"NCE3407A";
"1";"PRTR5V0U2X";"SMD-DIODE-TVS-5.5V";"SOT-143B";"ESD1";"SMD Diode TVS;5.5V";"";"";"";"NXP";"PRTR5V0U2X,215";"";"304050022";"";
"1";"SMD1206R500SF";"SMD-PPTC-500MA(1206)";"F1206";"F1";"307010002";"";"";"";"SMD1206R500SF";"";"";"";"SMD1206R500SF";
"1";"ST-USB-001G";"MICRO-USB-SMD-B-WITHOUT-POST-W/P(ST-USB-001G)";"MICRO-USB5+4P-SMD-0.65-B";"USB1";"320010000";"";"";"";"ST-USB-001G";"";"";"";"ST-USB-001G";
"19";"TPTP16R";"TPTP16R";"TP16R";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19";"Test pad";"";"";"";"";"";"";"";"";
"1";"TS-1101F";"DIP-BUTTON(2P-6.0X3.0X4.3MM)-TS-1101F";"SW2-5.0-6.0X3.0X4.3MM";"SW1";"311020025";"";"";"";"TS-1101F";"";"";"";"TS-1101F";
"1";"TVS-DIODE-SZOPL-SMBJ15CA-13-F";"TVS-DIODE-SZOPL-SMBJ15CA-13-F";"DO-214AA";"D1";"SMD Diode TVS 24VWM/38.9VC-600W;DO-214AA(SMB)";"";"";"";"SMBJ15CA-13-F";"";"SHENZHEN-OPL";"TVS DIODE 15VWM 24.4VC SMB";"";
"1";"YEL-0603";"SMD-LED-CLEAR-YELLOW(0603)";"LED-0603";"D7";"304090044";"";"D13";"";"19-217-Y5C-AM1N1VY-3T";"";"";"";"YELLOW-0603";
"1";"YELLOW-0603";"SMD-LED-CLEAR-YELLOW(0603)";"LED-0603";"D6";"304090044";"";"ACT";"";"19-217-Y5C-AM1N1VY-3T";"";"";"";"YELLOW-0603";
"1";"YELLOW-2X3P-2.54";"DIP-YELLOW-MALE-HEADER-VERT(2X3P-2.54)";"H2X3-2.54";"J7";"320020027";"";"";"";"P125-1203A0BS116A2";"";"";"";"YELLOW-2X3P-2.54";
"1";"YELLOW-6P-2.54";"DIP-YELLOW-FEMALE-HEADER-VERT(6P-2.54)";"H6-2.54";"J3";"320030019";"";"";"";"F185-1106A1BSYA3";"";"";"";"YELLOW-6P-2.54";
"3";"YELLOW-8P-2.54";"DIP-YELLOW-FEMALE-HEADER(8P-2.54)";"H8-2.54";"J2, J4, J5";"320030065";"";"";"";"F185-1108A1BSYC1";"";"";"";"YELLOW-8P-2.54";
